run_name,tokens,metric,value
SmolLM3 (with TP bug),84934656000.0,openbookqa,0.32
SmolLM3 (with TP bug),89653248000.0,openbookqa,0.322
SmolLM3 (with TP bug),94371840000.0,openbookqa,0.322
SmolLM3 (with TP bug),99090432000.0,openbookqa,0.328
SmolLM3 (with TP bug),103809024000.0,openbookqa,0.332
SmolLM3 (with TP bug),108527616000.0,openbookqa,0.286
SmolLM3 (with TP bug),113246208000.0,openbookqa,0.31
SmolLM3 (with TP bug),117964800000.0,openbookqa,0.322
SmolLM3 (with TP bug),122683392000.0,openbookqa,0.322
SmolLM3 (with TP bug),127401984000.0,openbookqa,0.326
SmolLM3 (with TP bug),132120576000.0,openbookqa,0.312
SmolLM3 (with TP bug),136839168000.0,openbookqa,0.308
SmolLM3 (with TP bug),141557760000.0,openbookqa,0.354
SmolLM3 (with TP bug),146276352000.0,openbookqa,0.32
SmolLM3 (with TP bug),150994944000.0,openbookqa,0.318
SmolLM3 (with TP bug),155713536000.0,openbookqa,0.332
SmolLM3 (with TP bug),160432128000.0,openbookqa,0.32
SmolLM3 (with TP bug),165150720000.0,openbookqa,0.352
SmolLM3 (with TP bug),169869312000.0,openbookqa,0.346
SmolLM3 (with TP bug),174587904000.0,openbookqa,0.334
SmolLM3 (with TP bug),179306496000.0,openbookqa,0.324
SmolLM3 (with TP bug),184025088000.0,openbookqa,0.342
SmolLM3 (with TP bug),188743680000.0,openbookqa,0.322
SmolLM3 (with TP bug),193462272000.0,openbookqa,0.334
SmolLM3 (with TP bug),198180864000.0,openbookqa,0.336
SmolLM2 1.7B,10485760000.0,hellaswag,0.3879705238000398
SmolLM2 1.7B,20971520000.0,hellaswag,0.46594303923521213
SmolLM2 1.7B,31457280000.0,hellaswag,0.5082652857996415
SmolLM2 1.7B,41943040000.0,hellaswag,0.5278828918542123
SmolLM2 1.7B,52428800000.0,hellaswag,0.5492929695279825
SmolLM2 1.7B,62914560000.0,hellaswag,0.5524795857398924
SmolLM2 1.7B,73400320000.0,hellaswag,0.5671181039633539
SmolLM2 1.7B,83886080000.0,hellaswag,0.5759808803027285
SmolLM2 1.7B,94371840000.0,hellaswag,0.5823541127265485
SmolLM2 1.7B,104857600000.0,hellaswag,0.5919139613622785
SmolLM2 1.7B,10485760000.0,mmlu,0.28859808469092557
SmolLM2 1.7B,20971520000.0,mmlu,0.30585894088268456
SmolLM2 1.7B,31457280000.0,mmlu,0.31180216612570694
SmolLM2 1.7B,41943040000.0,mmlu,0.3228701876276885
SmolLM2 1.7B,52428800000.0,mmlu,0.3282348275310036
SmolLM2 1.7B,62914560000.0,mmlu,0.33116997610791044
SmolLM2 1.7B,73400320000.0,mmlu,0.33788218802071707
SmolLM2 1.7B,83886080000.0,mmlu,0.33761798247859165
SmolLM2 1.7B,94371840000.0,mmlu,0.347112264403381
SmolLM2 1.7B,104857600000.0,mmlu,0.34520050361221283
SmolLM2 1.7B,10485760000.0,arc,0.38685346065892146
SmolLM2 1.7B,20971520000.0,arc,0.4248988749841992
SmolLM2 1.7B,31457280000.0,arc,0.43924885947070247
SmolLM2 1.7B,41943040000.0,arc,0.47057175854104183
SmolLM2 1.7B,52428800000.0,arc,0.4805427712850921
SmolLM2 1.7B,62914560000.0,arc,0.4938692959170775
SmolLM2 1.7B,73400320000.0,arc,0.5108651934590501
SmolLM2 1.7B,83886080000.0,arc,0.5038690373587984
SmolLM2 1.7B,94371840000.0,arc,0.5066162190735569
SmolLM2 1.7B,104857600000.0,arc,0.5074120039990347
SmolLM2 1.7B,10485760000.0,piqa,0.6675734494015234
SmolLM2 1.7B,20971520000.0,piqa,0.7013057671381937
SmolLM2 1.7B,31457280000.0,piqa,0.7154515778019587
SmolLM2 1.7B,41943040000.0,piqa,0.7121871599564744
SmolLM2 1.7B,52428800000.0,piqa,0.720348204570185
SmolLM2 1.7B,62914560000.0,piqa,0.736126224156692
SmolLM2 1.7B,73400320000.0,piqa,0.7323177366702938
SmolLM2 1.7B,83886080000.0,piqa,0.7372143634385201
SmolLM2 1.7B,94371840000.0,piqa,0.736126224156692
SmolLM2 1.7B,104857600000.0,piqa,0.7285092491838956
SmolLM2 1.7B,10485760000.0,winogrande,0.494869771112865
SmolLM2 1.7B,20971520000.0,winogrande,0.505130228887135
SmolLM2 1.7B,31457280000.0,winogrande,0.5074980268350434
