run_name,tokens,learning_rate
From scratch,19919919919.91992,0.0002
From scratch,20020020020.02002,0.0002
From scratch,20120120120.120117,0.0002
From scratch,20220220220.22022,0.0002
From scratch,20320320320.32032,0.0002
From scratch,20420420420.42042,0.0002
From scratch,20520520520.520523,0.0002
From scratch,20620620620.62062,0.0002
From scratch,20720720720.72072,0.0002
From scratch,20820820820.82082,0.0002
From scratch,20920920920.92092,0.0002
From scratch,21021021021.021023,0.0002
From scratch,21121121121.121124,0.0002
From scratch,21221221221.221222,0.0002
From scratch,21321321321.32132,0.0002
From scratch,21421421421.42142,0.0002
From scratch,21521521521.521523,0.0002
From scratch,21621621621.621624,0.0002
From scratch,21721721721.72172,0.0002
From scratch,21821821821.821823,0.0002
From scratch,21921921921.92192,0.0002
From scratch,22022022022.022022,0.0002
From scratch,22122122122.122124,0.0002
From scratch,22222222222.22222,0.0002
From scratch,22322322322.322323,0.0002
From scratch,22422422422.42242,0.0002
From scratch,22522522522.522522,0.0002
From scratch,22622622622.622623,0.0002
From scratch,22722722722.722725,0.0002
From scratch,22822822822.822823,0.0002
From scratch,22922922922.922924,0.0002
From scratch,23023023023.02302,0.0002
From scratch,23123123123.123123,0.0002
From scratch,23223223223.223225,0.0002
From scratch,23323323323.323322,0.0002
From scratch,23423423423.423424,0.0002
From scratch,23523523523.523525,0.0002
From scratch,23623623623.623623,0.0002
From scratch,23723723723.723724,0.0002
From scratch,23823823823.823822,0.0002
From scratch,23923923923.923923,0.0002
From scratch,24024024024.024025,0.0002
From scratch,24124124124.124123,0.0002
From scratch,24224224224.224224,0.0002
From scratch,24324324324.324326,0.0002
From scratch,24424424424.424423,0.0002
From scratch,24524524524.524525,0.0002
From scratch,24624624624.624626,0.0002
From scratch,24724724724.724724,0.0002
From scratch,24824824824.824825,0.0002
From scratch,24924924924.924923,0.0002
From scratch,25025025025.02503,0.0002
From scratch,25125125125.125126,0.0002
From scratch,25225225225.225224,0.0002
From scratch,25325325325.325325,0.0002
From scratch,25425425425.425423,0.0002
From scratch,25525525525.525528,0.0002
From scratch,25625625625.625626,0.0002
From scratch,25725725725.725723,0.0002
From scratch,25825825825.825825,0.0002
From scratch,25925925925.925926,0.0002
From scratch,26026026026.026028,0.0002
From scratch,26126126126.126125,0.0002
From scratch,26226226226.226223,0.0002
From scratch,26326326326.32633,0.0002
From scratch,26426426426.426426,0.0002
From scratch,26526526526.526527,0.0002
From scratch,26626626626.626625,0.0002
From scratch,26726726726.72673,0.0002
From scratch,26826826826.826828,0.0002
From scratch,26926926926.926926,0.0002
From scratch,27027027027.027027,0.0002
From scratch,27127127127.127125,0.0002
From scratch,27227227227.22723,0.0002
From scratch,27327327327.327328,0.0002
From scratch,27427427427.427425,0.0002
From scratch,27527527527.52753,0.0002
From scratch,27627627627.62763,0.0002
From scratch,27727727727.72773,0.0002
From scratch,27827827827.827827,0.0002
From scratch,27927927927.927925,0.0002
From scratch,28028028028.02803,0.0002
From scratch,28128128128.128128,0.0002
From scratch,28228228228.22823,0.0002
From scratch,28328328328.328327,0.0002
From scratch,28428428428.428425,0.0002
From scratch,28528528528.52853,0.0002
From scratch,28628628628.628628,0.0002
From scratch,28728728728.72873,0.0002
From scratch,28828828828.828827,0.0002
From scratch,28928928928.928925,0.0002
From scratch,29029029029.02903,0.0002
From scratch,29129129129.129128,0.0002
From scratch,29229229229.229233,0.0002
From scratch,29329329329.32933,0.0002
From scratch,29429429429.42943,0.0002
From scratch,29529529529.52953,0.0002
From scratch,29629629629.629627,0.0002
From scratch,29729729729.729733,0.0002
From scratch,29829829829.82983,0.0002
From scratch,29929929929.92993,0.0002
From scratch,30030030030.03003,0.0002
From scratch,30130130130.130127,0.0002
From scratch,30230230230.230232,0.0002
From scratch,30330330330.33033,0.0002
From scratch,30430430430.43043,0.0002
From scratch,30530530530.53053,0.0002
From scratch,30630630630.63063,0.0002
From scratch,30730730730.730732,0.0002
From scratch,30830830830.83083,0.0002
From scratch,30930930930.930935,0.0002
From scratch,31031031031.031033,0.0002
From scratch,31131131131.13113,0.0002
From scratch,31231231231.23123,0.0002
From scratch,31331331331.33133,0.0002
From scratch,31431431431.431435,0.0002
From scratch,31531531531.531532,0.0002
From scratch,31631631631.63163,0.0002
From scratch,31731731731.73173,0.0002
From scratch,31831831831.83183,0.0002
From scratch,31931931931.931934,0.0002
From scratch,32032032032.032032,0.0002
From scratch,32132132132.13213,0.0002
From scratch,32232232232.23223,0.0002
From scratch,32332332332.332333,0.0002
From scratch,32432432432.432434,0.0002
From scratch,32532532532.53253,0.0002
From scratch,32632632632.63263,0.0002
From scratch,32732732732.732735,0.0002
From scratch,32832832832.832832,0.0002
From scratch,32932932932.932934,0.0002
From scratch,33033033033.03303,0.0002
From scratch,33133133133.133137,0.0002
From scratch,33233233233.233234,0.0002
From scratch,33333333333.333332,0.0002
From scratch,33433433433.433434,0.0002
From scratch,33533533533.53353,0.0002
From scratch,33633633633.633636,0.0002
From scratch,33733733733.733734,0.0002
From scratch,33833833833.83383,0.0002
From scratch,33933933933.933937,0.0002
From scratch,34034034034.034035,0.0002
From scratch,34134134134.134136,0.0002
From scratch,34234234234.234234,0.0002
From scratch,34334334334.33433,0.0002
From scratch,34434434434.43443,0.0002
From scratch,34534534534.53453,0.0002
From scratch,34634634634.634636,0.0002
From scratch,34734734734.73473,0.0002
From scratch,34834834834.83483,0.0002
From scratch,34934934934.93494,0.0002
From scratch,35035035035.035034,0.0002
From scratch,35135135135.13514,0.0002
From scratch,35235235235.23524,0.0002
From scratch,35335335335.335335,0.0002
From scratch,35435435435.43543,0.0002
From scratch,35535535535.53554,0.0002
