Step,throughput_drops,throughput_no_drops
269,13222.932945827124,13898.84335932802
270,13795.811745962405,13951.274532531295
271,13747.01866984179,13853.385114674324
272,13960.52547449625,13785.088868763563
273,13673.870544549987,13897.276811917773
274,10138.44323785866,13602.710098545182
275,13815.026153861,13798.66316119767
276,13812.27901980847,13988.967129748253
277,13845.621900426817,13878.894428041936
278,13905.23313215468,13717.79130486626
279,13646.31148353534,13940.203146604234
280,13747.246009294,13931.822631463992
281,13904.490356890032,13782.478937569764
282,13920.759525015965,13747.297345049656
283,13922.353936268952,13763.340194226404
284,13653.91061468498,13931.506298689012
285,13695.875780596458,13848.93304148424
286,13774.758151998156,13834.212464414346
287,13410.65313344352,13768.64954325884
288,13882.453337470628,13923.61016836512
289,13874.829336684425,13921.95529921627
290,13810.369257894668,13881.301725883948
291,602.632252618629,13820.271696704667
292,13776.812745119005,13298.464176183028
293,13781.96296650856,13846.172407382532
294,400.7973170731252,13865.564753541345
295,753.8805698397558,13918.143075495564
296,13790.629030859776,13832.059047292903
297,13643.3276504232,13697.397249337582
298,13721.297285324225,13799.660696050118
299,13690.309649855844,13788.90970255431
300,13709.603060079056,13796.410002232498
301,13759.629024335023,13891.089030861416
302,13352.306036977412,13641.594303201431
303,13805.404868411044,13278.17487133933
304,13121.108075576529,13929.202021992847
305,13445.288048576624,13926.492083942205
306,13658.759389342267,13904.385324367984
307,13685.772782577247,13487.693903955582
308,13805.67112358768,13917.008082943192
309,13578.205037199405,13910.750158433691
310,13680.156760819986,13876.861584655962
311,13703.078444207522,13857.460003420028
312,13596.81766407321,13798.69271571264
313,13232.003811996286,13874.76210335888
314,13744.77501280082,13827.583570323215
315,13222.634416260116,13823.592968527884
316,13680.74502815006,13802.935101607944
317,13754.759773453055,13854.398025854214
318,13697.1861162521,13916.00854083302
319,13519.181317891516,13891.148934518664
320,13659.273416529912,13408.245835321344
321,13735.653954827105,13845.056560468489
322,13759.658411876646,13929.473073804607
323,13778.462754558635,13688.5425314807
324,13013.113589641946,13841.12277550731
325,13520.819847476436,13769.870831536611
326,13547.524877272264,13913.115938656569
327,861.0857252953225,13673.660136122138
328,13805.900407108404,13884.0689068839
329,13298.738687858113,13797.000923554822
330,13442.910376263511,13969.031432999363
331,12890.515707590655,13762.568400005126
332,13786.091817033575,13773.933541467231
333,13650.626983315597,13772.18157185772
334,13831.59132462246,13951.742831202117
335,13839.07868518622,13930.158279588026
336,13380.286941581648,13887.907391688856
337,13893.448127766782,13649.997921497876
338,13847.266111876232,13817.648427446336
339,13872.200252145443,13853.362772714958
340,13849.387051665004,13858.264835232205
341,13775.553405666677,13972.530660910612
342,13736.210395357475,13789.426193902107
343,13347.40965361214,13311.701666842297
344,13865.36332478556,13880.083020441096
345,13722.890176636296,13938.024147526752
346,13739.176398079806,13966.926681477396
347,13464.642257353751,13900.605210096544
348,13794.888612786786,13790.37073529404
349,13712.09790629516,13921.782312881069
350,13873.89559881363,13884.614994528549
351,12988.91713642852,13875.9201016606
352,13625.81944620695,13926.860874626493
353,13699.574483829914,13912.928148923997
354,13284.410610494711,13778.779542660806
355,13428.557018910597,13980.565821732052
356,13482.831769916367,13852.387244095758
357,13625.668149797835,13836.39626838625
