"Step","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX"
"299","13690.309649855844","13690.309649855844","13690.309649855844"
"300","13709.603060079055","13709.603060079055","13709.603060079055"
"301","13759.629024335025","13759.629024335025","13759.629024335025"
"302","13352.306036977412","13352.306036977412","13352.306036977412"
"303","13805.404868411044","13805.404868411044","13805.404868411044"
"304","13121.108075576529","13121.108075576529","13121.108075576529"
"305","13445.288048576624","13445.288048576624","13445.288048576624"
"306","13658.759389342269","13658.759389342269","13658.759389342269"
"307","13685.772782577247","13685.772782577247","13685.772782577247"
"308","13805.67112358768","13805.67112358768","13805.67112358768"
"309","13578.205037199403","13578.205037199403","13578.205037199403"
"310","13680.156760819986","13680.156760819986","13680.156760819986"
"311","13703.078444207522","13703.078444207522","13703.078444207522"
"312","13596.81766407321","13596.81766407321","13596.81766407321"
"313","13232.003811996286","13232.003811996286","13232.003811996286"
"314","13744.77501280082","13744.77501280082","13744.77501280082"
"315","13222.634416260116","13222.634416260116","13222.634416260116"
"316","13680.745028150059","13680.745028150059","13680.745028150059"
"317","13754.759773453057","13754.759773453057","13754.759773453057"
"318","13697.1861162521","13697.1861162521","13697.1861162521"
"319","13519.181317891516","13519.181317891516","13519.181317891516"
"320","13659.273416529913","13659.273416529913","13659.273416529913"
"321","13735.653954827103","13735.653954827103","13735.653954827103"
"322","13759.658411876646","13759.658411876646","13759.658411876646"
"323","13778.462754558635","13778.462754558635","13778.462754558635"
"324","13013.113589641946","13013.113589641946","13013.113589641946"
"325","13520.819847476436","13520.819847476436","13520.819847476436"
"326","13547.524877272263","13547.524877272263","13547.524877272263"
"327","861.0857252953225","861.0857252953225","861.0857252953225"
"328","13805.900407108405","13805.900407108405","13805.900407108405"
"329","13298.738687858111","13298.738687858111","13298.738687858111"
"330","13442.910376263511","13442.910376263511","13442.910376263511"
"331","12890.515707590655","12890.515707590655","12890.515707590655"
"332","13786.091817033577","13786.091817033577","13786.091817033577"
"333","13650.626983315597","13650.626983315597","13650.626983315597"
"334","13831.591324622459","13831.591324622459","13831.591324622459"
"335","13839.07868518622","13839.07868518622","13839.07868518622"
"336","13380.286941581648","13380.286941581648","13380.286941581648"
"337","13893.448127766782","13893.448127766782","13893.448127766782"
"338","13847.266111876232","13847.266111876232","13847.266111876232"
"339","13872.200252145443","13872.200252145443","13872.200252145443"
"340","13849.387051665004","13849.387051665004","13849.387051665004"
"341","13775.553405666675","13775.553405666675","13775.553405666675"
"342","13736.210395357477","13736.210395357477","13736.210395357477"
"343","13347.409653612141","13347.409653612141","13347.409653612141"
"344","13865.363324785561","13865.363324785561","13865.363324785561"
"345","13722.890176636296","13722.890176636296","13722.890176636296"
"346","13739.176398079806","13739.176398079806","13739.176398079806"
"347","13464.642257353751","13464.642257353751","13464.642257353751"
"348","13794.888612786786","13794.888612786786","13794.888612786786"
"349","13712.097906295161","13712.097906295161","13712.097906295161"
"350","13873.89559881363","13873.89559881363","13873.89559881363"
"351","12988.91713642852","12988.91713642852","12988.91713642852"
"352","13625.81944620695","13625.81944620695","13625.81944620695"
"353","13699.574483829914","13699.574483829914","13699.574483829914"
"354","13284.410610494713","13284.410610494713","13284.410610494713"
"355","13428.557018910595","13428.557018910595","13428.557018910595"
"356","13482.831769916367","13482.831769916367","13482.831769916367"
"357","13625.668149797835","13625.668149797835","13625.668149797835"
"358","13508.423709587121","13508.423709587121","13508.423709587121"
"359","13830.81185712668","13830.81185712668","13830.81185712668"
"360","13382.739808890736","13382.739808890736","13382.739808890736"
"361","13818.81173186904","13818.81173186904","13818.81173186904"
"362","13563.482939461246","13563.482939461246","13563.482939461246"
