"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"253","14166","14166","14166","7109.87353515625","7109.87353515625","7109.87353515625"
"254","14222","14222","14222","5824.1171875","5824.1171875","5824.1171875"
"255","14278","14278","14278","7510.421875","7510.421875","7510.421875"
"256","14334","14334","14334","7999.328125","7999.328125","7999.328125"
"257","14390","14390","14390","5201.7578125","5201.7578125","5201.7578125"
"258","14446","14446","14446","4513.234375","4513.234375","4513.234375"
"259","14502","14502","14502","8508.0087890625","8508.0087890625","8508.0087890625"
"260","14558","14558","14558","5660.71630859375","5660.71630859375","5660.71630859375"
"261","14614","14614","14614","5683.84375","5683.84375","5683.84375"
"262","14670","14670","14670","6931.078125","6931.078125","6931.078125"
"263","14726","14726","14726","4495.546875","4495.546875","4495.546875"
"264","14782","14782","14782","7576.21875","7576.21875","7576.21875"
"265","14838","14838","14838","4584.3046875","4584.3046875","4584.3046875"
"266","14894","14894","14894","6865.953125","6865.953125","6865.953125"
"267","14950","14950","14950","6795.703125","6795.703125","6795.703125"
"268","15006","15006","15006","7440.3525390625","7440.3525390625","7440.3525390625"
"269","15062","15062","15062","7241.171875","7241.171875","7241.171875"
"270","15118","15118","15118","5057.65625","5057.65625","5057.65625"
"271","15174","15174","15174","8057.3125","8057.3125","8057.3125"
"272","15230","15230","15230","6075.21875","6075.21875","6075.21875"
"273","15286","15286","15286","6613.515625","6613.515625","6613.515625"
"274","15342","15342","15342","7062.578125","7062.578125","7062.578125"
"275","15398","15398","15398","5690.5546875","5690.5546875","5690.5546875"
"276","15454","15454","15454","5682.724609375","5682.724609375","5682.724609375"
"277","15510","15510","15510","6890.5","6890.5","6890.5"
"278","15566","15566","15566","5225.2265625","5225.2265625","5225.2265625"
"279","15622","15622","15622","6860.34423828125","6860.34423828125","6860.34423828125"
"280","15678","15678","15678","6609.0703125","6609.0703125","6609.0703125"
"281","15734","15734","15734","4814.71875","4814.71875","4814.71875"
"282","15790","15790","15790","6148.6376953125","6148.6376953125","6148.6376953125"
"283","15846","15846","15846","9450.259765625","9450.259765625","9450.259765625"
"284","15902","15902","15902","8120.2578125","8120.2578125","8120.2578125"
"285","15958","15958","15958","8719.41796875","8719.41796875","8719.41796875"
"286","16014","16014","16014","9440.83203125","9440.83203125","9440.83203125"
"287","16070","16070","16070","7430.46435546875","7430.46435546875","7430.46435546875"
"288","16126","16126","16126","10043.828125","10043.828125","10043.828125"
"289","16182","16182","16182","6213.1953125","6213.1953125","6213.1953125"
"290","16238","16238","16238","7347.4453125","7347.4453125","7347.4453125"
"291","16294","16294","16294","9268.6962890625","9268.6962890625","9268.6962890625"
"292","16350","16350","16350","7642.5","7642.5","7642.5"
"293","16406","16406","16406","8120.8515625","8120.8515625","8120.8515625"
"294","16462","16462","16462","7249.5625","7249.5625","7249.5625"
"295","16518","16518","16518","6606.38916015625","6606.38916015625","6606.38916015625"
"296","16574","16574","16574","6478.6455078125","6478.6455078125","6478.6455078125"
"297","16630","16630","16630","5754.546875","5754.546875","5754.546875"
"298","16686","16686","16686","8687.0703125","8687.0703125","8687.0703125"
"299","16742","16742","16742","4590.7890625","4590.7890625","4590.7890625"
"300","16798","16798","16798","6688.7578125","6688.7578125","6688.7578125"
"301","16854","16854","16854","7107.4765625","7107.4765625","7107.4765625"
"302","16910","16910","16910","4575.4296875","4575.4296875","4575.4296875"
"303","16966","16966","16966","7264.6953125","7264.6953125","7264.6953125"
"304","17022","17022","17022","6810.8828125","6810.8828125","6810.8828125"
"305","17078","17078","17078","7255.78125","7255.78125","7255.78125"
"306","17134","17134","17134","8759.9033203125","8759.9033203125","8759.9033203125"
"307","17190","17190","17190","5890.7421875","5890.7421875","5890.7421875"
"308","17246","17246","17246","7731.50390625","7731.50390625","7731.50390625"
"309","17302","17302","17302","6199.6640625","6199.6640625","6199.6640625"
"310","17358","17358","17358","5720.90625","5720.90625","5720.90625"
"311","17414","17414","17414","7971.3515625","7971.3515625","7971.3515625"
"312","17470","17470","17470","5153.5625","5153.5625","5153.5625"
"313","17526","17526","17526","6453.7734375","6453.7734375","6453.7734375"
"314","17582","17582","17582","7772.15625","7772.15625","7772.15625"
"315","17638","17638","17638","6591.29931640625","6591.29931640625","6591.29931640625"
"316","17694","17694","17694","7653.6513671875","7653.6513671875","7653.6513671875"
"317","17750","17750","17750","8240.96875","8240.96875","8240.96875"
"318","17806","17806","17806","7447.99169921875","7447.99169921875","7447.99169921875"
"319","17862","17862","17862","7442.2900390625","7442.2900390625","7442.2900390625"
"320","17918","17918","17918","7025.8828125","7025.8828125","7025.8828125"
"321","17974","17974","17974","6894.7890625","6894.7890625","6894.7890625"
"322","18030","18030","18030","7098.171875","7098.171875","7098.171875"
"323","18086","18086","18086","7747.54345703125","7747.54345703125","7747.54345703125"
"324","18142","18142","18142","7637.359375","7637.359375","7637.359375"
"325","18198","18198","18198","7814.5390625","7814.5390625","7814.5390625"
"326","18254","18254","18254","6038.51953125","6038.51953125","6038.51953125"
"327","18310","18310","18310","7067.6484375","7067.6484375","7067.6484375"
"328","18366","18366","18366","8689.953125","8689.953125","8689.953125"
"329","18422","18422","18422","4731.9140625","4731.9140625","4731.9140625"
"330","18478","18478","18478","8127.39501953125","8127.39501953125","8127.39501953125"
"331","18534","18534","18534","7491.8203125","7491.8203125","7491.8203125"
"332","18590","18590","18590","9094.1796875","9094.1796875","9094.1796875"
"333","18646","18646","18646","7414.9130859375","7414.9130859375","7414.9130859375"
"334","18702","18702","18702","6111.734375","6111.734375","6111.734375"
"335","18758","18758","18758","6413.8125","6413.8125","6413.8125"
"336","18814","18814","18814","7149.29931640625","7149.29931640625","7149.29931640625"
"337","18870","18870","18870","9062.1494140625","9062.1494140625","9062.1494140625"
"338","18926","18926","18926","8137.13525390625","8137.13525390625","8137.13525390625"
"339","18982","18982","18982","7295.3544921875","7295.3544921875","7295.3544921875"
"340","19038","19038","19038","8309.859375","8309.859375","8309.859375"
"341","19094","19094","19094","7765.328125","7765.328125","7765.328125"
