"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX"
"31","12150","12150","12150","0.763671875","0.763671875","0.763671875","12150","12150","12150","0.744140625","0.744140625","0.744140625","12150","12150","12150","0.705078125","0.705078125","0.705078125","12150","12150","12150","0.7119140625","0.7119140625","0.7119140625","12150","12150","12150","0.7392578125","0.7392578125","0.7392578125","12150","12150","12150","0.7041015625","0.7041015625","0.7041015625"
"32","12542","12542","12542","0.8359375","0.8359375","0.8359375","12542","12542","12542","0.8193359375","0.8193359375","0.8193359375","12542","12542","12542","0.75390625","0.75390625","0.75390625","12542","12542","12542","0.775390625","0.775390625","0.775390625","12542","12542","12542","0.814453125","0.814453125","0.814453125","12542","12542","12542","0.74609375","0.74609375","0.74609375"
"33","12934","12934","12934","0.837890625","0.837890625","0.837890625","12934","12934","12934","0.810546875","0.810546875","0.810546875","12934","12934","12934","0.78125","0.78125","0.78125","12934","12934","12934","0.79296875","0.79296875","0.79296875","12934","12934","12934","0.8154296875","0.8154296875","0.8154296875","12934","12934","12934","0.77734375","0.77734375","0.77734375"
"34","13326","13326","13326","0.7705078125","0.7705078125","0.7705078125","13326","13326","13326","0.7509765625","0.7509765625","0.7509765625","13326","13326","13326","0.6982421875","0.6982421875","0.6982421875","13326","13326","13326","0.72265625","0.72265625","0.72265625","13326","13326","13326","0.744140625","0.744140625","0.744140625","13326","13326","13326","0.6865234375","0.6865234375","0.6865234375"
"35","13718","13718","13718","0.81640625","0.81640625","0.81640625","13718","13718","13718","0.755859375","0.755859375","0.755859375","13718","13718","13718","0.736328125","0.736328125","0.736328125","13718","13718","13718","0.69921875","0.69921875","0.69921875","13718","13718","13718","0.7626953125","0.7626953125","0.7626953125","13718","13718","13718","0.7431640625","0.7431640625","0.7431640625"
"36","14110","14110","14110","0.7587890625","0.7587890625","0.7587890625","14110","14110","14110","0.7451171875","0.7451171875","0.7451171875","14110","14110","14110","0.703125","0.703125","0.703125","14110","14110","14110","0.7216796875","0.7216796875","0.7216796875","14110","14110","14110","0.740234375","0.740234375","0.740234375","14110","14110","14110","0.7138671875","0.7138671875","0.7138671875"
"37","14502","14502","14502","0.7412109375","0.7412109375","0.7412109375","14502","14502","14502","0.7568359375","0.7568359375","0.7568359375","14502","14502","14502","0.6923828125","0.6923828125","0.6923828125","14502","14502","14502","0.7099609375","0.7099609375","0.7099609375","14502","14502","14502","0.7470703125","0.7470703125","0.7470703125","14502","14502","14502","0.689453125","0.689453125","0.689453125"
"38","14894","14894","14894","0.80078125","0.80078125","0.80078125","14894","14894","14894","0.798828125","0.798828125","0.798828125","14894","14894","14894","0.7763671875","0.7763671875","0.7763671875","14894","14894","14894","0.775390625","0.775390625","0.775390625","14894","14894","14894","0.7900390625","0.7900390625","0.7900390625","14894","14894","14894","0.75","0.75","0.75"
"39","15286","15286","15286","0.7607421875","0.7607421875","0.7607421875","15286","15286","15286","0.7236328125","0.7236328125","0.7236328125","15286","15286","15286","0.7041015625","0.7041015625","0.7041015625","15286","15286","15286","0.7197265625","0.7197265625","0.7197265625","15286","15286","15286","0.728515625","0.728515625","0.728515625","15286","15286","15286","0.6884765625","0.6884765625","0.6884765625"
"40","15678","15678","15678","0.7412109375","0.7412109375","0.7412109375","15678","15678","15678","0.724609375","0.724609375","0.724609375","15678","15678","15678","0.6943359375","0.6943359375","0.6943359375","15678","15678","15678","0.685546875","0.685546875","0.685546875","15678","15678","15678","0.720703125","0.720703125","0.720703125","15678","15678","15678","0.666015625","0.666015625","0.666015625"
