run_name,step,throughput
With drops,255,13799.232107850092
Without drops,255,9233.030558805036
With drops,256,13842.18594113078
Without drops,256,13959.23988787021
With drops,257,13712.615956029898
Without drops,257,13976.660792483242
With drops,258,13764.641414740296
Without drops,258,13804.347345093634
With drops,259,13210.914223756758
Without drops,259,13970.652069564292
With drops,260,13703.151310636373
Without drops,260,13888.37144589449
With drops,261,13650.995770648811
Without drops,261,13911.178192375191
With drops,262,13719.281127619566
Without drops,262,13834.516967141564
With drops,263,13791.56635602849
Without drops,263,13830.75989575059
With drops,264,13606.523882086454
Without drops,264,13797.000923554822
With drops,265,13838.81113987133
Without drops,265,13811.38329051075
With drops,266,13680.294744911256
Without drops,266,13957.410225871288
With drops,267,13712.82756506858
Without drops,267,13732.279669570167
With drops,268,13677.150851046892
Without drops,268,13884.001583984304
With drops,269,13222.932945827124
Without drops,269,13898.84335932802
With drops,270,13795.811745962405
Without drops,270,13951.274532531295
With drops,271,13747.01866984179
Without drops,271,13853.385114674324
With drops,272,13960.52547449625
Without drops,272,13785.088868763563
With drops,273,13673.870544549987
Without drops,273,13897.276811917773
With drops,274,10138.44323785866
Without drops,274,13602.710098545182
With drops,275,13815.026153861
Without drops,275,13798.66316119767
With drops,276,13812.27901980847
Without drops,276,13988.967129748253
With drops,277,13845.621900426817
Without drops,277,13878.894428041936
With drops,278,13905.23313215468
Without drops,278,13717.79130486626
With drops,279,13646.31148353534
Without drops,279,13940.203146604234
With drops,280,13747.246009294
Without drops,280,13931.822631463992
With drops,281,13904.490356890032
Without drops,281,13782.478937569764
With drops,282,13920.759525015965
Without drops,282,13747.297345049656
With drops,283,13922.353936268952
Without drops,283,13763.340194226404
With drops,284,13653.91061468498
Without drops,284,13931.506298689012
With drops,285,13695.875780596458
Without drops,285,13848.93304148424
With drops,286,13774.758151998156
Without drops,286,13834.212464414346
With drops,287,13410.65313344352
Without drops,287,13768.64954325884
With drops,288,13882.453337470628
Without drops,288,13923.61016836512
With drops,289,13874.829336684425
Without drops,289,13921.95529921627
With drops,290,13810.369257894668
Without drops,290,13881.301725883948
With drops,291,602.632252618629
Without drops,291,13820.271696704667
With drops,292,13776.812745119005
Without drops,292,13298.464176183028
With drops,293,13781.96296650856
Without drops,293,13846.172407382532
With drops,294,400.7973170731252
Without drops,294,13865.564753541345
With drops,295,753.8805698397558
Without drops,295,13918.143075495564
With drops,296,13790.629030859776
Without drops,296,13832.059047292903
With drops,297,13643.3276504232
Without drops,297,13697.397249337582
With drops,298,13721.297285324225
Without drops,298,13799.660696050118
With drops,299,13690.309649855844
Without drops,299,13788.90970255431
With drops,300,13709.603060079056
Without drops,300,13796.410002232498
With drops,301,13759.629024335023
Without drops,301,13891.089030861416
With drops,302,13352.306036977412
Without drops,302,13641.594303201431
With drops,303,13805.404868411044
Without drops,303,13278.17487133933
With drops,304,13121.108075576529
Without drops,304,13929.202021992847
With drops,305,13445.288048576624
Without drops,305,13926.492083942205
With drops,306,13658.759389342267
Without drops,306,13904.385324367984
With drops,307,13685.772782577247
Without drops,307,13487.693903955582
With drops,308,13805.67112358768
Without drops,308,13917.008082943192
With drops,309,13578.205037199405
Without drops,309,13910.750158433691
With drops,310,13680.156760819986
Without drops,310,13876.861584655962
With drops,311,13703.078444207522
Without drops,311,13857.460003420028
With drops,312,13596.81766407321
Without drops,312,13798.69271571264
With drops,313,13232.003811996286
Without drops,313,13874.76210335888
With drops,314,13744.77501280082
Without drops,314,13827.583570323215
With drops,315,13222.634416260116
Without drops,315,13823.592968527884
With drops,316,13680.74502815006
Without drops,316,13802.935101607944
With drops,317,13754.759773453055
Without drops,317,13854.398025854214
With drops,318,13697.1861162521
Without drops,318,13916.00854083302
With drops,319,13519.181317891516
Without drops,319,13891.148934518664
With drops,320,13659.273416529912
Without drops,320,13408.245835321344
With drops,321,13735.653954827105
Without drops,321,13845.056560468489
With drops,322,13759.658411876646
Without drops,322,13929.473073804607
With drops,323,13778.462754558635
Without drops,323,13688.5425314807
With drops,324,13013.113589641946
Without drops,324,13841.12277550731
With drops,325,13520.819847476436
Without drops,325,13769.870831536611
With drops,326,13547.524877272264
Without drops,326,13913.115938656569
With drops,327,861.0857252953225
Without drops,327,13673.660136122138
With drops,328,13805.900407108404
Without drops,328,13884.0689068839
With drops,329,13298.738687858113
Without drops,329,13797.000923554822
With drops,330,13442.910376263511
Without drops,330,13969.031432999363
With drops,331,12890.515707590655
Without drops,331,13762.568400005126
With drops,332,13786.091817033575
Without drops,332,13773.933541467231
With drops,333,13650.626983315597
Without drops,333,13772.18157185772
With drops,334,13831.59132462246
Without drops,334,13951.742831202117
With drops,335,13839.07868518622
Without drops,335,13930.158279588026
With drops,336,13380.286941581648
Without drops,336,13887.907391688856
With drops,337,13893.448127766782
Without drops,337,13649.997921497876
With drops,338,13847.266111876232
Without drops,338,13817.648427446336
With drops,339,13872.200252145443
Without drops,339,13853.362772714958
With drops,340,13849.387051665004
Without drops,340,13858.264835232205
With drops,341,13775.553405666677
Without drops,341,13972.530660910612
With drops,342,13736.210395357475
Without drops,342,13789.426193902107
With drops,343,13347.40965361214
Without drops,343,13311.701666842297
With drops,344,13865.36332478556
Without drops,344,13880.083020441096
With drops,345,13722.890176636296
Without drops,345,13938.024147526752
With drops,346,13739.176398079806
Without drops,346,13966.926681477396
With drops,347,13464.642257353751
Without drops,347,13900.605210096544
