"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"173","9686","9686","9686","0.8125","0.8125","0.8125"
"174","9742","9742","9742","0.8203125","0.8203125","0.8203125"
"175","9798","9798","9798","0.6271438598632812","0.6271438598632812","0.6271438598632812"
"176","9854","9854","9854","0.890625","0.890625","0.890625"
"177","9910","9910","9910","0.6164093017578125","0.6164093017578125","0.6164093017578125"
"178","9966","9966","9966","0.6302108764648438","0.6302108764648438","0.6302108764648438"
"179","10022","10022","10022","0.78125","0.78125","0.78125"
"180","10078","10078","10078","0.7285690307617188","0.7285690307617188","0.7285690307617188"
"181","10134","10134","10134","0.5538787841796875","0.5538787841796875","0.5538787841796875"
"182","10190","10190","10190","0.7498092651367188","0.7498092651367188","0.7498092651367188"
"183","10246","10246","10246","0.8466567993164062","0.8466567993164062","0.8466567993164062"
"184","10302","10302","10302","0.7365798950195312","0.7365798950195312","0.7365798950195312"
"185","10358","10358","10358","0.7265625","0.7265625","0.7265625"
"186","10414","10414","10414","0.6447525024414062","0.6447525024414062","0.6447525024414062"
"187","10470","10470","10470","0.7326431274414062","0.7326431274414062","0.7326431274414062"
"188","10526","10526","10526","0.8672103881835938","0.8672103881835938","0.8672103881835938"
"189","10582","10582","10582","0.77166748046875","0.77166748046875","0.77166748046875"
"190","10638","10638","10638","0.631072998046875","0.631072998046875","0.631072998046875"
"191","10694","10694","10694","0.63006591796875","0.63006591796875","0.63006591796875"
"192","10750","10750","10750","0.7265625","0.7265625","0.7265625"
"193","10806","10806","10806","0.73681640625","0.73681640625","0.73681640625"
"194","10862","10862","10862","0.950927734375","0.950927734375","0.950927734375"
"195","10918","10918","10918","0.7798538208007812","0.7798538208007812","0.7798538208007812"
"196","10974","10974","10974","0.6466903686523438","0.6466903686523438","0.6466903686523438"
"197","11030","11030","11030","0.885589599609375","0.885589599609375","0.885589599609375"
"198","11086","11086","11086","0.719818115234375","0.719818115234375","0.719818115234375"
"199","11142","11142","11142","0.71875","0.71875","0.71875"
"200","11198","11198","11198","0.6041488647460938","0.6041488647460938","0.6041488647460938"
"201","11254","11254","11254","0.9144363403320312","0.9144363403320312","0.9144363403320312"
"202","11310","11310","11310","0.6540603637695312","0.6540603637695312","0.6540603637695312"
"203","11366","11366","11366","0.5516738891601562","0.5516738891601562","0.5516738891601562"
"204","11422","11422","11422","0.7734375","0.7734375","0.7734375"
"205","11478","11478","11478","0.7177047729492188","0.7177047729492188","0.7177047729492188"
"206","11534","11534","11534","0.652069091796875","0.652069091796875","0.652069091796875"
"207","11590","11590","11590","0.9010238647460938","0.9010238647460938","0.9010238647460938"
"208","11646","11646","11646","0.7866744995117188","0.7866744995117188","0.7866744995117188"
"209","11702","11702","11702","0.6343307495117188","0.6343307495117188","0.6343307495117188"
"210","11758","11758","11758","0.8214340209960938","0.8214340209960938","0.8214340209960938"
"211","11814","11814","11814","0.7222824096679688","0.7222824096679688","0.7222824096679688"
"212","11870","11870","11870","0.7734375","0.7734375","0.7734375"
"213","11926","11926","11926","0.6438980102539062","0.6438980102539062","0.6438980102539062"
"214","11982","11982","11982","0.7891921997070312","0.7891921997070312","0.7891921997070312"
"215","12038","12038","12038","0.7908935546875","0.7908935546875","0.7908935546875"
"216","12094","12094","12094","0.8125","0.8125","0.8125"
"217","12150","12150","12150","0.7109375","0.7109375","0.7109375"
"218","12206","12206","12206","0.859375","0.859375","0.859375"
"219","12262","12262","12262","0.7734375","0.7734375","0.7734375"
"220","12318","12318","12318","0.7464981079101562","0.7464981079101562","0.7464981079101562"
"221","12374","12374","12374","0.6943817138671875","0.6943817138671875","0.6943817138671875"
"222","12430","12430","12430","0.7421875","0.7421875","0.7421875"
"223","12486","12486","12486","0.7890625","0.7890625","0.7890625"
"224","12542","12542","12542","0.7313613891601562","0.7313613891601562","0.7313613891601562"
"225","12598","12598","12598","0.8125","0.8125","0.8125"
"226","12654","12654","12654","0.8558425903320312","0.8558425903320312","0.8558425903320312"
"227","12710","12710","12710","0.7421875","0.7421875","0.7421875"
"228","12766","12766","12766","0.609375","0.609375","0.609375"
"229","12822","12822","12822","0.8046875","0.8046875","0.8046875"
"230","12878","12878","12878","0.4647216796875","0.4647216796875","0.4647216796875"
"231","12934","12934","12934","0.640625","0.640625","0.640625"
"232","12990","12990","12990","0.8262100219726562","0.8262100219726562","0.8262100219726562"
"233","13046","13046","13046","0.4765625","0.4765625","0.4765625"
"234","13102","13102","13102","0.7779464721679688","0.7779464721679688","0.7779464721679688"
"235","13158","13158","13158","0.6640625","0.6640625","0.6640625"
"236","13214","13214","13214","0.8094253540039062","0.8094253540039062","0.8094253540039062"
"237","13270","13270","13270","0.7494888305664062","0.7494888305664062","0.7494888305664062"
"238","13326","13326","13326","0.63543701171875","0.63543701171875","0.63543701171875"
"239","13382","13382","13382","0.8587265014648438","0.8587265014648438","0.8587265014648438"
"240","13438","13438","13438","0.84375","0.84375","0.84375"
"241","13494","13494","13494","0.9765625","0.9765625","0.9765625"
"242","13550","13550","13550","0.75","0.75","0.75"
"243","13606","13606","13606","0.777374267578125","0.777374267578125","0.777374267578125"
"244","13662","13662","13662","0.6943283081054688","0.6943283081054688","0.6943283081054688"
"245","13718","13718","13718","0.8184814453125","0.8184814453125","0.8184814453125"
"246","13774","13774","13774","0.7712020874023438","0.7712020874023438","0.7712020874023438"
"247","13830","13830","13830","0.9217453002929688","0.9217453002929688","0.9217453002929688"
"248","13886","13886","13886","0.8638076782226562","0.8638076782226562","0.8638076782226562"
"249","13942","13942","13942","0.9575653076171875","0.9575653076171875","0.9575653076171875"
"250","13998","13998","13998","0.9453125","0.9453125","0.9453125"
"251","14054","14054","14054","0.6825714111328125","0.6825714111328125","0.6825714111328125"
"252","14110","14110","14110","0.7509613037109375","0.7509613037109375","0.7509613037109375"
"253","14166","14166","14166","0.7365951538085938","0.7365951538085938","0.7365951538085938"
"254","14222","14222","14222","0.7871322631835938","0.7871322631835938","0.7871322631835938"
"255","14278","14278","14278","0.7098770141601562","0.7098770141601562","0.7098770141601562"
"256","14334","14334","14334","0.6438522338867188","0.6438522338867188","0.6438522338867188"
"257","14390","14390","14390","0.927520751953125","0.927520751953125","0.927520751953125"
"258","14446","14446","14446","0.765625","0.765625","0.765625"
"259","14502","14502","14502","0.6544952392578125","0.6544952392578125","0.6544952392578125"
"260","14558","14558","14558","0.921875","0.921875","0.921875"
"261","14614","14614","14614","0.8984375","0.8984375","0.8984375"
"262","14670","14670","14670","0.796875","0.796875","0.796875"
"263","14726","14726","14726","0.96875","0.96875","0.96875"
"264","14782","14782","14782","0.5964736938476562","0.5964736938476562","0.5964736938476562"
"265","14838","14838","14838","0.96875","0.96875","0.96875"
"266","14894","14894","14894","0.79473876953125","0.79473876953125","0.79473876953125"
"267","14950","14950","14950","0.9268951416015625","0.9268951416015625","0.9268951416015625"
"268","15006","15006","15006","0.6470565795898438","0.6470565795898438","0.6470565795898438"
"269","15062","15062","15062","0.8080978393554688","0.8080978393554688","0.8080978393554688"
"270","15118","15118","15118","0.8735809326171875","0.8735809326171875","0.8735809326171875"
"271","15174","15174","15174","0.864593505859375","0.864593505859375","0.864593505859375"
"272","15230","15230","15230","0.8581466674804688","0.8581466674804688","0.8581466674804688"
"273","15286","15286","15286","0.8291549682617188","0.8291549682617188","0.8291549682617188"
"274","15342","15342","15342","0.609222412109375","0.609222412109375","0.609222412109375"
"275","15398","15398","15398","0.7235565185546875","0.7235565185546875","0.7235565185546875"
"276","15454","15454","15454","0.8359375","0.8359375","0.8359375"
"277","15510","15510","15510","0.7574691772460938","0.7574691772460938","0.7574691772460938"
"278","15566","15566","15566","0.827911376953125","0.827911376953125","0.827911376953125"
"279","15622","15622","15622","0.6867446899414062","0.6867446899414062","0.6867446899414062"
"280","15678","15678","15678","0.87091064453125","0.87091064453125","0.87091064453125"
"281","15734","15734","15734","0.828125","0.828125","0.828125"
"282","15790","15790","15790","0.759796142578125","0.759796142578125","0.759796142578125"
"283","15846","15846","15846","0.5421295166015625","0.5421295166015625","0.5421295166015625"
"284","15902","15902","15902","0.7625198364257812","0.7625198364257812","0.7625198364257812"
"285","15958","15958","15958","0.5790939331054688","0.5790939331054688","0.5790939331054688"
"286","16014","16014","16014","0.5608367919921875","0.5608367919921875","0.5608367919921875"
"287","16070","16070","16070","0.6788482666015625","0.6788482666015625","0.6788482666015625"
"288","16126","16126","16126","0.585845947265625","0.585845947265625","0.585845947265625"
"289","16182","16182","16182","0.8702468872070312","0.8702468872070312","0.8702468872070312"
"290","16238","16238","16238","0.6619186401367188","0.6619186401367188","0.6619186401367188"
"291","16294","16294","16294","0.65753173828125","0.65753173828125","0.65753173828125"
"292","16350","16350","16350","0.67529296875","0.67529296875","0.67529296875"
"293","16406","16406","16406","0.6167678833007812","0.6167678833007812","0.6167678833007812"
"294","16462","16462","16462","0.796875","0.796875","0.796875"
"295","16518","16518","16518","0.6393890380859375","0.6393890380859375","0.6393890380859375"
