Step,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX
293,13955.188058557002,13955.188058557002,13955.188058557002
294,600.0527961066546,600.0527961066546,600.0527961066546
295,799.1262997878935,799.1262997878935,799.1262997878935
296,13888.618455134085,13888.618455134085,13888.618455134085
297,13920.300823394495,13920.300823394495,13920.300823394495
298,13844.870603467958,13844.870603467958,13844.870603467958
299,13725.565312244342,13725.565312244342,13725.565312244342
300,13899.2181837893,13899.2181837893,13899.2181837893
301,13766.170847120085,13766.170847120085,13766.170847120085
302,13903.035047568488,13903.035047568488,13903.035047568488
303,13855.560076972337,13855.560076972337,13855.560076972337
304,13819.589847323741,13819.589847323741,13819.589847323741
305,13892.714100646122,13892.714100646122,13892.714100646122
306,13858.957959765154,13858.957959765154,13858.957959765154
307,13840.840283435928,13840.840283435928,13840.840283435928
308,13756.859811886723,13756.859811886723,13756.859811886723
309,13834.212464414346,13834.212464414346,13834.212464414346
310,13891.358601387745,13891.358601387745,13891.358601387745
311,13884.510262062024,13884.510262062024,13884.510262062024
312,13761.010374503116,13761.010374503116,13761.010374503116
313,13749.805930442633,13749.805930442633,13749.805930442633
314,13929.759195494875,13929.759195494875,13929.759195494875
315,13735.156125196076,13735.156125196076,13735.156125196076
316,13908.602876949217,13908.602876949217,13908.602876949217
317,13718.514266671422,13718.514266671422,13718.514266671422
318,13750.723039546569,13750.723039546569,13750.723039546569
319,12991.261344628474,12991.261344628474,12991.261344628474
320,13823.719030368962,13823.719030368962,13823.719030368962
321,13696.05047753182,13696.05047753182,13696.05047753182
322,13700.426633576986,13700.426633576986,13700.426633576986
323,13745.955407717103,13745.955407717103,13745.955407717103
324,13688.38983896233,13688.38983896233,13688.38983896233
325,13713.396752821725,13713.396752821725,13713.396752821725
326,13745.68411889334,13745.68411889334,13745.68411889334
327,793.9360133843165,793.9360133843165,793.9360133843165
328,13647.482253901238,13647.482253901238,13647.482253901238
329,13759.371888700409,13759.371888700409,13759.371888700409
330,13776.864301932144,13776.864301932144,13776.864301932144
331,13754.972685202483,13754.972685202483,13754.972685202483
332,13795.634494809332,13795.634494809332,13795.634494809332
333,13856.774479681415,13856.774479681415,13856.774479681415
334,13823.615214568066,13823.615214568066,13823.615214568066
335,13537.07056823035,13537.07056823035,13537.07056823035
336,13693.28496596579,13693.28496596579,13693.28496596579
337,13848.709768708126,13848.709768708126,13848.709768708126
338,13806.31461599991,13806.31461599991,13806.31461599991
339,13512.914593744264,13512.914593744264,13512.914593744264
340,13769.451449089509,13769.451449089509,13769.451449089509
341,13724.541913163519,13724.541913163519,13724.541913163519
342,13844.80366017061,13844.80366017061,13844.80366017061
343,13809.23697409824,13809.23697409824,13809.23697409824
344,13630.186876203958,13630.186876203958,13630.186876203958
345,13753.66595149194,13753.66595149194,13753.66595149194
346,13729.601916298338,13729.601916298338,13729.601916298338
347,13735.273258333304,13735.273258333304,13735.273258333304
348,13831.947681883177,13831.947681883177,13831.947681883177
349,13799.409451462605,13799.409451462605,13799.409451462605
350,13788.30471903908,13788.30471903908,13788.30471903908
351,13737.872663824179,13737.872663824179,13737.872663824179
352,13844.982177068838,13844.982177068838,13844.982177068838
353,13919.609068286547,13919.609068286547,13919.609068286547
354,13538.756114552305,13538.756114552305,13538.756114552305
355,13780.1573719858,13780.1573719858,13780.1573719858
356,13809.695785679607,13809.695785679607,13809.695785679607
357,13715.95868255537,13715.95868255537,13715.95868255537
358,13923.768153716977,13923.768153716977,13923.768153716977
359,13642.518700239765,13642.518700239765,13642.518700239765
360,13726.544994327169,13726.544994327169,13726.544994327169
361,14010.658280867721,14010.658280867721,14010.658280867721
362,13898.371109289381,13898.371109289381,13898.371109289381
363,13378.147497146027,13378.147497146027,13378.147497146027
364,13941.19862545335,13941.19862545335,13941.19862545335
365,13921.173134362223,13921.173134362223,13921.173134362223
366,13454.800129693356,13454.800129693356,13454.800129693356
367,13858.533133278479,13858.533133278479,13858.533133278479
368,13836.240259524098,13836.240259524098,13836.240259524098
369,13932.191704524996,13932.191704524996,13932.191704524996
370,13428.80193851469,13428.80193851469,13428.80193851469
371,13995.835311701629,13995.835311701629,13995.835311701629
372,13890.227972879082,13890.227972879082,13890.227972879082
373,13888.057083205562,13888.057083205562,13888.057083205562
374,13818.885834327617,13818.885834327617,13818.885834327617
375,13857.75062634606,13857.75062634606,13857.75062634606
376,13817.300215169764,13817.300215169764,13817.300215169764
377,13878.67018815247,13878.67018815247,13878.67018815247
378,13670.918163255454,13670.918163255454,13670.918163255454
379,13917.316241421098,13917.316241421098,13917.316241421098
380,13771.776768326703,13771.776768326703,13771.776768326703
381,13892.137419460569,13892.137419460569,13892.137419460569
382,13810.78373498528,13810.78373498528,13810.78373498528
383,13838.610487673768,13838.610487673768,13838.610487673768
384,13767.524089877988,13767.524089877988,13767.524089877988
385,13594.945498994219,13594.945498994219,13594.945498994219
386,13989.749336744027,13989.749336744027,13989.749336744027
387,13239.740164139092,13239.740164139092,13239.740164139092
388,13774.257483829691,13774.257483829691,13774.257483829691
389,13924.324892581419,13924.324892581419,13924.324892581419
390,13875.755728840792,13875.755728840792,13875.755728840792
391,13793.441388668094,13793.441388668094,13793.441388668094
392,13963.43025953105,13963.43025953105,13963.43025953105
