"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"161","13840.97409403233","13840.97409403233","13840.97409403233"
"162","13945.612118542393","13945.612118542393","13945.612118542393"
"163","13962.363518347345","13962.363518347345","13962.363518347345"
"164","13942.058471609815","13942.058471609815","13942.058471609815"
"165","13784.897145268887","13784.897145268887","13784.897145268887"
"166","13730.42122716907","13730.42122716907","13730.42122716907"
"167","13915.828187623729","13915.828187623729","13915.828187623729"
"168","14033.692978362245","14033.692978362245","14033.692978362245"
"169","13837.183795390685","13837.183795390685","13837.183795390685"
"170","13746.615344156096","13746.615344156096","13746.615344156096"
"171","13498.99831955311","13498.99831955311","13498.99831955311"
"172","14008.936963108974","14008.936963108974","14008.936963108974"
"173","13747.7520499084","13747.7520499084","13747.7520499084"
"174","13944.261368420257","13944.261368420257","13944.261368420257"
"175","13931.762376494553","13931.762376494553","13931.762376494553"
"176","13906.95907804308","13906.95907804308","13906.95907804308"
"177","13840.156403014245","13840.156403014245","13840.156403014245"
"178","13894.991335649363","13894.991335649363","13894.991335649363"
"179","13884.06142652948","13884.06142652948","13884.06142652948"
"180","13920.398576943064","13920.398576943064","13920.398576943064"
"181","13904.970525770526","13904.970525770526","13904.970525770526"
"182","13707.378889837471","13707.378889837471","13707.378889837471"
"183","13450.368844595645","13450.368844595645","13450.368844595645"
"184","13920.406096503668","13920.406096503668","13920.406096503668"
"185","13969.36461728691","13969.36461728691","13969.36461728691"
"186","13971.750378167251","13971.750378167251","13971.750378167251"
"187","13815.300186725095","13815.300186725095","13815.300186725095"
"188","13838.00113518654","13838.00113518654","13838.00113518654"
"189","13936.772850505477","13936.772850505477","13936.772850505477"
