run_name,step,throughput
3B-nanotron-old-nn1-fwedu-32k,191,15582.054183876897
3B-nanotron-old-nn1-fwedu-,191,15228.76040137574
3B-nanotron-old-nn1-fwedu-32k,192,15587.586800594716
3B-nanotron-old-nn1-fwedu-,192,15277.803071946728
3B-nanotron-old-nn1-fwedu-,193,15272.506242691868
3B-nanotron-old-nn1-fwedu-,194,15310.716499457556
3B-nanotron-old-nn1-fwedu-,195,15290.131278969591
3B-nanotron-old-nn1-fwedu-32k,198,15530.62079323084
3B-nanotron-old-nn1-fwedu-,198,15194.81814193731
3B-nanotron-old-nn1-fwedu-32k,200,15620.117176622622
3B-nanotron-old-nn1-fwedu-,200,15300.689501699597
3B-nanotron-old-nn1-fwedu-,201,15250.895279939208
3B-nanotron-old-nn1-fwedu-32k,202,15562.415469533184
3B-nanotron-old-nn1-fwedu-,202,15277.739669365144
3B-nanotron-old-nn1-fwedu-32k,204,15512.017104882982
3B-nanotron-old-nn1-fwedu-,204,15176.267938255616
3B-nanotron-old-nn1-fwedu-32k,205,15604.151557005844
3B-nanotron-old-nn1-fwedu-,205,6523.7879005976765
3B-nanotron-old-nn1-fwedu-,206,15340.292042810275
3B-nanotron-old-nn1-fwedu-32k,208,15553.069914508766
3B-nanotron-old-nn1-fwedu-,208,15307.606088398685
3B-nanotron-old-nn1-fwedu-32k,209,15508.675039930478
3B-nanotron-old-nn1-fwedu-,209,15162.775295020312
3B-nanotron-old-nn1-fwedu-,210,15277.214353932532
3B-nanotron-old-nn1-fwedu-,211,15353.782425058136
3B-nanotron-old-nn1-fwedu-,212,15294.22392409924
3B-nanotron-old-nn1-fwedu-32k,213,15555.18224872787
3B-nanotron-old-nn1-fwedu-,213,15314.95669703136
3B-nanotron-old-nn1-fwedu-,214,15268.696608628985
3B-nanotron-old-nn1-fwedu-32k,215,15540.051834337082
3B-nanotron-old-nn1-fwedu-,215,15274.552103689926
3B-nanotron-old-nn1-fwedu-,216,15244.444653726045
3B-nanotron-old-nn1-fwedu-32k,220,15567.576771331276
3B-nanotron-old-nn1-fwedu-,220,15229.26438960738
3B-nanotron-old-nn1-fwedu-32k,221,15598.890440113606
3B-nanotron-old-nn1-fwedu-,221,15255.599105613712
3B-nanotron-old-nn1-fwedu-32k,222,15584.56081139514
3B-nanotron-old-nn1-fwedu-,222,15220.800014175476
3B-nanotron-old-nn1-fwedu-,224,15282.895111215488
3B-nanotron-old-nn1-fwedu-,225,15187.376510130003
3B-nanotron-old-nn1-fwedu-,227,15316.039870742812
3B-nanotron-old-nn1-fwedu-,228,15257.261034955794
3B-nanotron-old-nn1-fwedu-32k,229,15580.358427151748
3B-nanotron-old-nn1-fwedu-,229,15231.064619923827
3B-nanotron-old-nn1-fwedu-,230,15213.683195216598
3B-nanotron-old-nn1-fwedu-,232,15269.067534586746
3B-nanotron-old-nn1-fwedu-32k,234,15551.464924149068
3B-nanotron-old-nn1-fwedu-,234,15290.82079519994
3B-nanotron-old-nn1-fwedu-32k,235,15506.8739095612
3B-nanotron-old-nn1-fwedu-,235,15193.581842558626
3B-nanotron-old-nn1-fwedu-32k,237,15573.635559648928
3B-nanotron-old-nn1-fwedu-,237,15224.5677926749
3B-nanotron-old-nn1-fwedu-32k,241,15499.254067006366
3B-nanotron-old-nn1-fwedu-,241,15230.407486538095
3B-nanotron-old-nn1-fwedu-32k,242,15595.49196435704
3B-nanotron-old-nn1-fwedu-,242,15206.815311025111
3B-nanotron-old-nn1-fwedu-,243,15172.28283422992
3B-nanotron-old-nn1-fwedu-32k,244,15613.69106104836
3B-nanotron-old-nn1-fwedu-,244,15306.005901499131
3B-nanotron-old-nn1-fwedu-32k,245,15570.022298471806
3B-nanotron-old-nn1-fwedu-,245,15247.249779898328
3B-nanotron-old-nn1-fwedu-32k,250,15588.878624199908
3B-nanotron-old-nn1-fwedu-,250,15267.656302710697
3B-nanotron-old-nn1-fwedu-32k,252,15551.483694051649
3B-nanotron-old-nn1-fwedu-,252,15227.779519928334
3B-nanotron-old-nn1-fwedu-32k,253,15535.264641661352
3B-nanotron-old-nn1-fwedu-,253,15229.390391877596
3B-nanotron-old-nn1-fwedu-,254,15255.833921489577
3B-nanotron-old-nn1-fwedu-32k,256,15558.140480754428
3B-nanotron-old-nn1-fwedu-,256,15320.966147363011
3B-nanotron-old-nn1-fwedu-32k,257,15502.079156853722
3B-nanotron-old-nn1-fwedu-,257,15274.334818102448
3B-nanotron-old-nn1-fwedu-32k,261,15375.21831007344
3B-nanotron-old-nn1-fwedu-,261,15281.680686939608
3B-nanotron-old-nn1-fwedu-,262,15237.96344043549
