"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"33","12934","12934","12934","974.0419921875","974.0419921875","974.0419921875","12934","12934","12934","771.0810546875","771.0810546875","771.0810546875","12934","12934","12934","667.123046875","667.123046875","667.123046875","12934","12934","12934","685.5400390625","685.5400390625","685.5400390625","12934","12934","12934","794.955078125","794.955078125","794.955078125","12934","12934","12934","545.578125","545.578125","545.578125"
"34","13326","13326","13326","1072.654296875","1072.654296875","1072.654296875","13326","13326","13326","744.6416015625","744.6416015625","744.6416015625","13326","13326","13326","637.9931640625","637.9931640625","637.9931640625","13326","13326","13326","660.1787109375","660.1787109375","660.1787109375","13326","13326","13326","794.2880859375","794.2880859375","794.2880859375","13326","13326","13326","516.0380859375","516.0380859375","516.0380859375"
"35","13718","13718","13718","1107.53955078125","1107.53955078125","1107.53955078125","13718","13718","13718","758.65234375","758.65234375","758.65234375","13718","13718","13718","624.380859375","624.380859375","624.380859375","13718","13718","13718","663.2548828125","663.2548828125","663.2548828125","13718","13718","13718","784.603515625","784.603515625","784.603515625","13718","13718","13718","515.0107421875","515.0107421875","515.0107421875"
"36","14110","14110","14110","1079.0615234375","1079.0615234375","1079.0615234375","14110","14110","14110","780.1787109375","780.1787109375","780.1787109375","14110","14110","14110","651.3759765625","651.3759765625","651.3759765625","14110","14110","14110","665.4453125","665.4453125","665.4453125","14110","14110","14110","846.3857421875","846.3857421875","846.3857421875","14110","14110","14110","505.9091796875","505.9091796875","505.9091796875"
"37","14502","14502","14502","1178.6363525390625","1178.6363525390625","1178.6363525390625","14502","14502","14502","759.9853515625","759.9853515625","759.9853515625","14502","14502","14502","647.068359375","647.068359375","647.068359375","14502","14502","14502","653.0859375","653.0859375","653.0859375","14502","14502","14502","852.3818359375","852.3818359375","852.3818359375","14502","14502","14502","512.1142578125","512.1142578125","512.1142578125"
"38","14894","14894","14894","1097.5703125","1097.5703125","1097.5703125","14894","14894","14894","722.81640625","722.81640625","722.81640625","14894","14894","14894","636.5966796875","636.5966796875","636.5966796875","14894","14894","14894","636.16796875","636.16796875","636.16796875","14894","14894","14894","764.568359375","764.568359375","764.568359375","14894","14894","14894","508.6416015625","508.6416015625","508.6416015625"
"39","15286","15286","15286","1096.1328125","1096.1328125","1096.1328125","15286","15286","15286","759.8876953125","759.8876953125","759.8876953125","15286","15286","15286","674.59765625","674.59765625","674.59765625","15286","15286","15286","655.8837890625","655.8837890625","655.8837890625","15286","15286","15286","759.953125","759.953125","759.953125","15286","15286","15286","520.6982421875","520.6982421875","520.6982421875"
"40","15678","15678","15678","1171.55859375","1171.55859375","1171.55859375","15678","15678","15678","722.7548828125","722.7548828125","722.7548828125","15678","15678","15678","615.9296875","615.9296875","615.9296875","15678","15678","15678","609.943359375","609.943359375","609.943359375","15678","15678","15678","804.919921875","804.919921875","804.919921875","15678","15678","15678","484.53515625","484.53515625","484.53515625"
"41","16070","16070","16070","1085.306640625","1085.306640625","1085.306640625","16070","16070","16070","761.5517578125","761.5517578125","761.5517578125","16070","16070","16070","666.880859375","666.880859375","666.880859375","16070","16070","16070","654.2392578125","654.2392578125","654.2392578125","16070","16070","16070","820.59765625","820.59765625","820.59765625","16070","16070","16070","517.9638671875","517.9638671875","517.9638671875"
"42","16462","16462","16462","1165.47119140625","1165.47119140625","1165.47119140625","16462","16462","16462","770.662109375","770.662109375","770.662109375","16462","16462","16462","649.828125","649.828125","649.828125","16462","16462","16462","647.736328125","647.736328125","647.736328125","16462","16462","16462","827.8779296875","827.8779296875","827.8779296875","16462","16462","16462","513.271484375","513.271484375","513.271484375"
"43","16854","16854","16854","1161.28125","1161.28125","1161.28125","16854","16854","16854","811.6708984375","811.6708984375","811.6708984375","16854","16854","16854","673.6591796875","673.6591796875","673.6591796875","16854","16854","16854","645.572265625","645.572265625","645.572265625","16854","16854","16854","799.2626953125","799.2626953125","799.2626953125","16854","16854","16854","517.201171875","517.201171875","517.201171875"
"44","17246","17246","17246","1176.9453125","1176.9453125","1176.9453125","17246","17246","17246","730.26953125","730.26953125","730.26953125","17246","17246","17246","638.7138671875","638.7138671875","638.7138671875","17246","17246","17246","610.1103515625","610.1103515625","610.1103515625","17246","17246","17246","795.77734375","795.77734375","795.77734375","17246","17246","17246","483.681640625","483.681640625","483.681640625"
"45","17638","17638","17638","1178.93359375","1178.93359375","1178.93359375","17638","17638","17638","769.8955078125","769.8955078125","769.8955078125","17638","17638","17638","630.943359375","630.943359375","630.943359375","17638","17638","17638","599.009765625","599.009765625","599.009765625","17638","17638","17638","775.984375","775.984375","775.984375","17638","17638","17638","494.1015625","494.1015625","494.1015625"
"46","18030","18030","18030","1202.0126953125","1202.0126953125","1202.0126953125","18030","18030","18030","817.5126953125","817.5126953125","817.5126953125","18030","18030","18030","676.3544921875","676.3544921875","676.3544921875","18030","18030","18030","643.552734375","643.552734375","643.552734375","18030","18030","18030","804.560546875","804.560546875","804.560546875","18030","18030","18030","527.921875","527.921875","527.921875"
"47","18422","18422","18422","1307.08203125","1307.08203125","1307.08203125","18422","18422","18422","925.119140625","925.119140625","925.119140625","18422","18422","18422","716.4072265625","716.4072265625","716.4072265625","18422","18422","18422","673.6396484375","673.6396484375","673.6396484375","18422","18422","18422","895.62109375","895.62109375","895.62109375","18422","18422","18422","538.326171875","538.326171875","538.326171875"
