run_name,steps,learning_rate
Multi-Step,597,5.97e-05
Multi-Step,598,5.9800000000000003e-05
Multi-Step,599,5.99e-05
Multi-Step,600,6e-05
Multi-Step,601,6.0100000000000004e-05
Multi-Step,602,6.02e-05
Multi-Step,603,6.03e-05
Multi-Step,604,6.04e-05
Multi-Step,605,6.05e-05
Multi-Step,606,6.06e-05
Multi-Step,607,6.07e-05
Multi-Step,608,6.08e-05
Multi-Step,609,6.09e-05
Multi-Step,610,6.1e-05
Multi-Step,611,6.110000000000001e-05
Multi-Step,612,6.12e-05
Multi-Step,613,6.13e-05
Multi-Step,614,6.14e-05
Multi-Step,615,6.15e-05
Multi-Step,616,6.16e-05
Multi-Step,617,6.170000000000001e-05
Multi-Step,618,6.18e-05
Multi-Step,619,6.19e-05
Multi-Step,620,6.2e-05
Multi-Step,621,6.21e-05
Multi-Step,622,6.220000000000001e-05
Multi-Step,623,6.23e-05
Multi-Step,624,6.24e-05
Multi-Step,625,6.25e-05
Multi-Step,626,6.26e-05
Multi-Step,627,6.27e-05
Multi-Step,628,6.280000000000001e-05
Multi-Step,629,6.29e-05
Multi-Step,630,6.3e-05
Multi-Step,631,6.31e-05
Multi-Step,632,6.32e-05
Multi-Step,633,6.330000000000001e-05
Multi-Step,634,6.340000000000001e-05
Multi-Step,635,6.35e-05
Multi-Step,636,6.36e-05
Multi-Step,637,6.37e-05
Multi-Step,638,6.38e-05
Multi-Step,639,6.390000000000001e-05
Multi-Step,640,6.400000000000001e-05
Multi-Step,641,6.41e-05
Multi-Step,642,6.42e-05
Multi-Step,643,6.43e-05
Multi-Step,644,6.440000000000001e-05
Multi-Step,645,6.450000000000001e-05
Multi-Step,646,6.460000000000001e-05
Multi-Step,647,6.47e-05
Multi-Step,648,6.48e-05
Multi-Step,649,6.49e-05
Multi-Step,650,6.500000000000001e-05
Multi-Step,651,6.510000000000001e-05
Multi-Step,652,6.52e-05
Multi-Step,653,6.53e-05
Multi-Step,654,6.54e-05
Multi-Step,655,6.55e-05
Multi-Step,656,6.560000000000001e-05
Multi-Step,657,6.570000000000001e-05
Multi-Step,658,6.58e-05
Multi-Step,659,6.59e-05
Multi-Step,660,6.6e-05
Multi-Step,661,6.610000000000001e-05
Multi-Step,662,6.620000000000001e-05
Multi-Step,663,6.630000000000001e-05
Multi-Step,664,6.64e-05
Multi-Step,665,6.65e-05
Multi-Step,666,6.66e-05
Multi-Step,667,6.670000000000001e-05
Multi-Step,668,6.680000000000001e-05
Multi-Step,669,6.690000000000001e-05
Multi-Step,670,6.7e-05
Multi-Step,671,6.71e-05
Multi-Step,672,6.720000000000001e-05
Multi-Step,673,6.730000000000001e-05
Multi-Step,674,6.740000000000001e-05
Multi-Step,675,6.750000000000001e-05
Multi-Step,676,6.76e-05
Multi-Step,677,6.77e-05
Multi-Step,678,6.780000000000001e-05
Multi-Step,679,6.790000000000001e-05
Multi-Step,680,6.800000000000001e-05
Multi-Step,681,6.81e-05
Multi-Step,682,6.82e-05
Multi-Step,683,6.83e-05
Multi-Step,684,6.840000000000001e-05
Multi-Step,685,6.850000000000001e-05
Multi-Step,686,6.860000000000001e-05
Multi-Step,687,6.87e-05
Multi-Step,688,6.879999999999999e-05
Multi-Step,689,6.89e-05
